srno|code|name|flag|Module_Name
----|----|----|----|-----------
2|FAT|Transaction|1|Transaction
3|fate|Voucher Entry|1|Transaction
4|fate|Adjustment Entry|0|Transaction
5|fate|Delete Adjustment Entry|1|Transaction
6|fate|Bank Reconciliation|1|Transaction
7|fate|T.D.S. Challan Entry|0|Transaction
8|fate|T.D.S. Certificate Entry|1|Transaction
9|faD|Display|1|Display
10|FAREPORTD|Balance Sheet|1|Display
11|FAREPORTD|Profit And Loss Account|1|Display
12|FAREPORTD|Trial Balance (Group)|1|Display
13|FAREPORTD|Trial Ledger|1|Display
14|FAREPORTD|Cash Flow|1|Display
15|FAREPORTD|Fund Flow|1|Display
16|FAREPORTD|Cash And Bank Books|1|Display
17|farp|Reports|1|Reports
18|FAREPORT|Trial Balance|1|Reports
19|FAREPORT|Day Book|1|Reports
20|FAREPORT|Ledger|1|Reports
21|FAREPORT|Interest Ledger|1|Reports
22|FAREPORT|Cash Book|1|Reports
23|FAREPORT|Bank Book|1|Reports
24|FAREPORT|Journal Books|1|Reports
25|FAREPORT|Annexure|1|Reports
26|FAREPORT|Bank Register|1|Reports
27|FAREPORT|Ageing Analysis for Debtors|1|Reports
28|FAREPORT|Ageing Analysis for Creditors|1|Reports
29|FAREPORT|Cheque Cleared Register|1|Reports
30|FAREPORT|Cheque Not Cleared Register|1|Reports
31|FAREPORT|Outstanding Report For Debtors|1|Reports
32|FAREPORT|Outstanding Report For Creditors|1|Reports
33|FAREPORT|Daily Transaction Summary|1|Reports
34|FAREPORT|Non Transaction Report|1|Reports
35|FAREPORT|Reference Report|1|Reports
36|FAREPORT|Detailed Trial Ledger|1|Reports
37|FAREPORT|A/c Check List|1|Reports
38|FAREPORT|Bill Wise Outstanding Report For Debtors|1|Reports
39|FAREPORT|Control Ledger|1|Reports
40|FAREPORT|Roz Namcha|1|Reports
42|GEN|General Setup|1|General Setup
43|GENMas|Tax Master|1|General Setup
44|GENMas|Tax Structure|0|General Setup
45|GENMas|Payment Type|0|General Setup
46|GENMas|Parameter|0|General Setup
47|GENMas|Revenue Group Setting|0|General Setup
48|GENMas|Printing Parameters|1|General Setup
49|GENMas|Printing Setup|0|General Setup
50|GENMas|Revenue Wise Budget Entry|0|General Setup
51|FO|Front Office|1|Front Office
52|Mas|Country Master|1|Front Office
53|Mas|State Master|1|Front Office
54|Mas|City Master|1|Front Office
55|Mas|Market Segment|1|Front Office
56|Mas|Business Source|0|Front Office
57|Mas|Guest Status|0|Front Office
58|Mas|Charge Master|0|Front Office
59|Mas|Fixed Charge|0|Front Office
60|Mas|Package Master|0|Front Office
61|Mas|Plan Master|0|Front Office
62|Mas|Season Master|0|Front Office
63|Mas|Room Features|1|Front Office
64|Mas|Room Category|0|Front Office
65|Mas|Room Master|0|Front Office
66|Mas|Company Master|0|Front Office
