Module	SQLCount
Module1	0
MDIForm1	75
REPVIEW	0
TmpTable	0
frmCompany	57
TopBarLib	0
MainLib	18
FaVoucher	5
CodeModule	0
CGUnzipFiles	0
CGZipFiles	0
FrmParty	8
FrmBusinessSrc	5
FrmGuestStat	5
FrmMarketSeg	6
FrmTaxMast	7
FrmWaiterMast	5
FrmPayTypeMast	12
FrmRoomFeatureMast	5
FrmTaxStruMast	4
frmSeasonMast	4
FrmPlanPackMast	5
CompMast	15
FrmRoomCatMast	9
GuestProfile	17
FrmItemGroupMast	8
FrmRoomMast	7
FrmGuestAddObj	2
FrmConsumMast	3
GroupProfile	3
RsKOTEntry	57
FrmExpense	2
pPBill	26
HHouseKeeping	5
GridPrint	0
HKHouseOpStk	8
HKIssRec	9
FrmGuestWakeUp	3
FrmHouGuestMsg	1
RrRoomReservation	45
RsTableMast	4
pGIss	13
kClStk	9
frmAdvanceDepDialog	14
RsMenuItemEntry	13
frmGuestParamMast	1
rRepHousePreview	7
rRepHouse	1
FrmChangeRest	1
HKRoomOpStk	10
FrmItemMastRaw	14
FrmItemCatMast	17
InHouseGuestFolio	42
SundryVType	4
resRoomNo	1
resRoomType	4
frmEnviro	7
RrLookUpGuest	1
fdAmendEntry	2
fdRoomChange	10
fdCheckIn	0
fdPaymentCharge	11
fdPostChrg	3
fdDisplayFolio	10
FdCheckOut	24
HWIHistory	0
rRepReserv	24
resGroup	9
DepartMast	4
FrmMenuRate	1
OutLetMast	14
FrmChargeMast	11
frmRevGroup	2
DepartSundry	3
RsSpecItemEntry	5
FdLookUpRoom	4
rsAdvanceDepDialog	19
SundryMast	5
TravelAgencyPost	2
fdNDAcPostChrg	9
frmSessionMast	5
FdLookUpRoomNo	9
VoucherSundrySetting	5
FrmChangeDepart	2
frmWelcome	2
FrmChangeKitch	2
FrmItemCatRaw	12
Godown	2
PIndent	9
pPOrder	10
pMREntry	10
TelCallCodeMast	5
TelCallTypeMast	12
TelExtensionMast	7
TelCallControlMast	2
TelCallEntry	3
Hotlib	176
FrmInc	134
rrsAdvanceDepDialog	11
frmPrintModule	5
frmFomB	16
FdRevCheckOut	8
rRepTel	2
rRepTelPreview	2
FdRoomDisplay	1
FrmChangeSite	1
FdGrpCheckOut	51
POSBillReprint	49
RSSaleBill	172
OutLetSundry	4
fdAcPostChrg	2
fdRoomOcc	1
resBanq	2
CateringBooking	9
FrmItemGroupMastRaw	4
FrmEventMast	5
FrmHallItemCatMast	10
HallItemGroupMast	5
HallMenuItemEntry	13
HallSundry	2
FrmBookingInquiry	11
HallMenuCatalog	11
frmFdLeaderRev	7
HallBooking	26
HallBill	29
HallAdvanceDepDialog	27
HallEstimate	23
frmPassword	0
BanqAvailability	2
HallChefPreCosting	8
DepOpStk	10
FrmOPStock	0
FrmConsumMast9999	2
RsGravyItemEntry	12
FindMess	0
RSSaleBill1	38
FrmMergeCharge	3
hAdvanceDepDialog	20
hAdvanceDepDialogSecondry	13
frmMessage	0
frmFixedChargeMast	12
HallAcPostChrg	1
Picture	0
FrmComplaintClearing	3
FrmLostFound	3
FrmClaimEntry	1
FOMModule	7
FrmStockTransfer	5
frmGuestComments	12
EmptyInbox	1
FrmPackageMast	9
UserPermission	10
DMTree	3
UserMast	5
mdlDataTransfer	5
FrmControlPanel	0
mdlNightAudit	0
LockForm	0
FrmNAMessageA	0
FrmNAMessageC	0
FrmNAMessageB	0
frmYearEnd	6
RsSaleBillSplit	55
FrmMenuList	0
FrmDataRecieving	0
ModuleAdd	22
FrmComplaintMast	7
FdReSetlement	14
Transfer	17
RsBookingEntry	37
RsBookingEntryAdvance	1
RsPOSDisplay	11
fdPrintScreen	0
AccountMerg	1
FdGrpdetCheckOut	12
fdDisplayFolioSumm	0
frmMenuItemCopy	8
RSSaleBillDisplay	24
FrmRevenueWiseBudget	3
FrmPOSBillDeletion	25
pHappyHours	5
salmarCompProfile	2
FrmRevMergeCharge	9
FaLib	7
FaSubGroup	10
FaVrEnt	37
NewHappyHours	6
FrmBdayLookup	0
frmComboMast	13
FaMagic	2
FaTDSChal	6
FAFind	0
FaAdjust	2
FaAdjustDel	2
FaChqClear	3
FaCityMast	6
FaCountryMast	5
FaStateMast	6
FaCurrBalUpdate	11
FaEnvron	74
FaGlobeNarr	1
FaGrEnt	11
FaNarrMast	3
FaReports	33
FaRepView	0
FaTDSCat	5
FaTDSCertificate	2
FaVtype	6
RsPOSCustInfo	1
FrmDeliveredItemDetail	2
HallBillEstimate	20
FrmSerialiseVr	10
FrmReservationStatus	0
RsStoreRecEntry	4
RsKitchenStk	4
SchemeMast	2
FrmUnSettledBillsInfo	0
FrmPOSBillModificationDatewise	13
FrmPOSBillModificationItemGroupwise	13
FrmPOSSaleDataTransfer	8
FrmPlanTokenMast	3
POSAdvanceDepDialog	29
FrmDenomination	5
FrmItemIssuedOnCleaning	2
RsKitchenMaterial	9
RsTbChange	2
RsKOTTransfer	5
RsStatusScreen	0
FrmItemMast	6
RsTokenEntry	32
FrmPOSRecycleData	2
FrmSmsCenterSettings	4
FrmSMSEnviro	6
SMSModule	28
HRoomCheckOutClearance	4
FrmSMSMultiType	4
Form1	0
FrmVenueMast	12
FrmVenueFeat	6
RsPOSDisplayNew	4
frmmessageKey	0
rInventRepView	29
rFomRepView	180
FrmHouseStatus	7
rPOSRepView	52
rFaRepView	35
repTouchDate	0
FrmCalender	0
frmReNightAudit	0
rHallRepView	18
RsTouchScreenSteward	0
RsTouchScreenKOTEntry	43
RsTouchScreenKeyBoard	0
RsTouchScreenFAFind	0
FrmMsgBox	0
frmBlockMast	5
RsTouchDisplayTB	12
RsTouchScreenBookingEntry	11
RSTouchScreenSaleBill	76
RsTouchOrderPersonDetails	0
POSBillPrint	46
HKRoomBlock	1
pReqSlip	10
BanqModule	2
MemCatMast	4
MembershipMast	21
MemberShipRevenueMast	6
memFacilityMast	7
memCatRevMast	3
memCategoryFacilities	0
MemberEnviro	0
memAgeRevMast	2
MemberModule	6
MemberSMS	1
MemberProposedMemInf	7
ModuleSmartCard	6
MemVisitEntry	4
MemRenewalEntry	3
MemFacilityEntry	0
MemFacilityBilling	9
MemBillPrintingModule	1
MemAssistant	8
SmartCardLostReIssue	2
SmartCardMast	1
SmartCardRecharge	4
SmartCardRefund	3
SmartCardRegistration	2
FrmUserPaymentCollection	2
memCatChngEntry	4
MemPaymentReceive	6
MemTagadaLetter	10
memCatChngCond	0
rMemberRepView	6
FrmGrcBlank	2
frmPurEnviro	0
memOutStationEntry	4
rsTouchScreenAdvanceDepDialog	19
FrmNCType	4
frmUnitMast	4
FrmFomBillDeletion	8
Inbox	7
Outbox	3
frmGuestInfo	2
MSendInput	0
FrmDeliveryBoyMast	5
RsAssignDelivery	7
prAttend	1
PrLeavench	4
PrLoan	13
prOverTime	4
prSalCreate	13
rRepPayRoll	27
PrAttend1	6
PrCategoryMast	3
PrDesigMast	3
PrEmployee	13
prHoliday	5
frmMod_Print1	5
frmMod_Print	7
RewardPointParam1	4
FrmJobScheduler	4
FrmForeignExMast	4
FrmForExRec	3
FrmLocationMast	4
FrmFacilityMast	8
FrmLocationFacilities	0
FrmPartyLocations	1
FrmMeterReading	2
FacilitySundry	4
fdWalkInEntry	59
FrmImage	0
frmTallyExport	4
FrmReceivePayment	6
RsTouchScreenTOKENEntry	39
FrmUploadProcess	0
frmLockGodrejSettings	1
ModuleDoorLock	1
frmGodrejLockSettings	1
