VB6 <-> PYTHON PARITY MATRIX
==============================================================================
Generated: _qa/gen_parity_matrix.py (skill: vb6-python-parity)
VB6: *.frm captions + inline-SQL table evidence | Py: shell registry + core/ui scan | DB: live-table probe

STATUS SUMMARY
------------------------------------------------------------------------------
  DONE         158
  PARTIAL      145
  UI-ONLY      0
  BLOCKED-TBL  2
  MISSING      13
  TOTAL        318


==============================================================================
## PARTIAL
==============================================================================

| VB6 form            | Caption                    | Python UI | Core | Wired | Tables (live) |
|---------------------|----------------------------|-----------|------|-------|----------------------------------------|
| fdNDAcPostChrg      | Posting Utility            | no        | Y    | -     | Enviro, ItemMast, PayCharge, Stock, mC |
| fdPrintScreen       | Guest Charges Summary      | no        | Y    | -     | GUESTSTAT, GuestFolio, GuestProf, RevM |
| FindMess            | (blank)                    | no        | Y    | -     | GuestMessage                           |
| FrmBdayLookup       | Form1                      | no        | Y    | -     | GuestProf                              |
| FrmBusinessSrc      | Business Source Master     | no        | Y    | -     | BussSource                             |
| FrmChangeDepart     | Department Change Master   | no        | Y    | -     | Depart                                 |
| FrmChangeKitch      | Kitchen Change Master      | no        | Y    | -     | Depart                                 |
| FrmChangeRest       | Restaurant Change Master   | no        | Y    | -     | Depart                                 |
| frmComboMast        | Combo Item Master          | no        | Y    | -     | ComboPackDetail, Depart, Item, ItemCat |
| frmCompany          | User Information           | no        | Y    | -     | Booking, BussSource, COMPANY, Company, |
| FrmComplaintMast    | Complain Master            | no        | Y    | -     | ComplaintCategory, ComplaintDetail, De |
| FrmConsumMast9999   | Open Item Consumption Mast | no        | Y    | -     | BOM, Depart, ItemMast                  |
| FrmDeliveredItemDetail | Not Delivered Item         | no        | Y    | -     | AssignDelivery, DeliveryBoy, Depart, P |
| FrmDeliveryBoyMast  | Delivery Boy Master        | no        | Y    | -     | DeliveryBoy                            |
| FrmDenomination     | Denomination Detail        | no        | Y    | -     | DenominationDetail, DenominationFormat |
| frmEnviro           | Parameter Settings         | no        | Y    | -     | Acgroup, Enviro, Godownmast, ItemMast, |
| FrmEventMast        | Event Type                 | no        | Y    | -     | FunctionType                           |
| FrmExpense          | Misc.Payment / Received En | no        | Y    | -     | ENVIRO, ExpSheet, REVMAST, SubGroup, V |
| FrmFacilityMast     | Form1                      | no        | Y    | -     | FacilityMast, SubGroup, Subgroup, TaxS |
| frmFdLeaderRev      | Leader Revenue Allocation  | no        | Y    | -     | BussSource, GuestFolio, GuestProf, Mar |
| frmFixedChargeMast  | Fixed Charge Master        | no        | Y    | -     | FixedCharge, PLAN1, RevMast, SubGroup, |
| frmFomB             | FOM Bill Reprint           | no        | Y    | -     | City, Depart, Enviro, FOMBillDetails,  |
